Solution,Cost
"[10, 21, 19, 25, 13, 24, 17, 11, 14, 18, 28, 26, 12, 27, 20, 15, 23, 16, 33, 29, 31, 34, 32, 30, 35, 4, 5, 3, 2, 6, 1, 9, 22, 8, 7]",130343.8
"[3, 1, 2, 6, 5, 4, 7, 20, 16, 29, 31, 34, 32, 30, 35, 33, 18, 28, 12, 25, 19, 13, 15, 27, 26, 21, 10, 11, 14, 24, 17, 23, 8, 22, 9]",131752.8
"[16, 9, 22, 24, 17, 13, 27, 15, 23, 32, 34, 31, 33, 7, 20, 3, 6, 2, 1, 5, 4, 35, 30, 29, 18, 14, 28, 19, 25, 11, 21, 10, 8, 26, 12]",137663.49999999997
"[35, 30, 32, 34, 31, 18, 12, 25, 19, 26, 10, 23, 3, 1, 2, 6, 5, 4, 15, 27, 7, 20, 16, 29, 33, 14, 28, 21, 11, 22, 8, 9, 17, 24, 13]",134540.2
"[23, 15, 13, 17, 24, 19, 25, 12, 26, 21, 10, 28, 18, 34, 31, 33, 14, 9, 7, 20, 3, 1, 6, 2, 5, 4, 27, 11, 8, 22, 16, 30, 29, 32, 35]",133756.80000000002
"[12, 26, 22, 8, 9, 16, 29, 35, 30, 32, 34, 31, 33, 18, 14, 28, 21, 11, 23, 6, 2, 1, 3, 5, 4, 27, 13, 17, 24, 25, 19, 15, 7, 20, 10]",135124.90000000002
"[15, 13, 24, 17, 25, 19, 12, 18, 14, 28, 26, 10, 11, 21, 27, 23, 7, 20, 2, 6, 1, 3, 5, 4, 16, 33, 29, 31, 34, 32, 30, 35, 9, 8, 22]",131061.69999999998
"[16, 9, 7, 20, 15, 27, 23, 5, 4, 8, 22, 21, 11, 10, 26, 12, 25, 19, 13, 17, 24, 14, 28, 18, 29, 31, 34, 32, 30, 35, 2, 6, 1, 3, 33]",194397.49999999997
"[21, 11, 10, 28, 26, 12, 19, 25, 17, 24, 13, 7, 20, 4, 5, 3, 1, 2, 6, 15, 27, 23, 16, 14, 18, 33, 31, 34, 32, 30, 35, 9, 8, 22, 29]",132584.1
"[7, 20, 15, 27, 23, 4, 5, 3, 1, 6, 2, 17, 24, 25, 19, 13, 16, 29, 34, 32, 31, 33, 18, 14, 11, 21, 10, 26, 12, 28, 22, 8, 9, 30, 35]",131169.40000000002
